alias,canonical
73As,As-73
73as,As-73
74As,As-74
74as,As-74
75Se,Se-75
75se,Se-75
76As,As-76
76Br,Br-76
76as,As-76
76br,Br-76
77As,As-77
77Br,Br-77
77Ge,Ge-77
77as,As-77
77br,Br-77
77ge,Ge-77
79Kr,Kr-79
79Se,Se-79
79kr,Kr-79
79se,Se-79
7Be,Be-7
7be,Be-7
81Kr,Kr-81
81Rb,Rb-81
81kr,Kr-81
81rb,Rb-81
82Br,Br-82
82Sr,Sr-82
82br,Br-82
82sr,Sr-82
83Rb,Rb-83
83rb,Rb-83
84Rb,Rb-84
84rb,Rb-84
85Kr,Kr-85
85Kr(m),Kr-85m
85KrM,Kr-85m
85Krm,Kr-85m
85Sr,Sr-85
85Sr(m),Sr-85m
85SrM,Sr-85m
85Srm,Sr-85m
85kr,Kr-85
85kr(m),Kr-85m
85krm,Kr-85m
85sr,Sr-85
85sr(m),Sr-85m
85srm,Sr-85m
86Rb,Rb-86
86rb,Rb-86
87Kr,Kr-87
87Rb,Rb-87
87Sr(m),Sr-87m
87SrM,Sr-87m
87Srm,Sr-87m
87Y,Y-87
87kr,Kr-87
87rb,Rb-87
87sr(m),Sr-87m
87srm,Sr-87m
87y,Y-87
88Y,Y-88
88Zr,Zr-88
88y,Y-88
88zr,Zr-88
89Sr,Sr-89
89sr,Sr-89
90Y,Y-90
90y,Y-90
91Sr,Sr-91
91Y,Y-91
91Y(m),Y-91m
91YM,Y-91m
91Ym,Y-91m
91sr,Sr-91
91y,Y-91
91y(m),Y-91m
91ym,Y-91m
92Sr,Sr-92
92Y,Y-92
92sr,Sr-92
92y,Y-92
93Mo,Mo-93
93Nb(m),Nb-93m
93NbM,Nb-93m
93Nbm,Nb-93m
93Y,Y-93
93Zr,Zr-93
93mo,Mo-93
93nb(m),Nb-93m
93nbm,Nb-93m
93y,Y-93
93zr,Zr-93
94Nb,Nb-94
94nb,Nb-94
95Nb,Nb-95
95Tc(m),Tc-95m
95TcM,Tc-95m
95Tcm,Tc-95m
95Zr,Zr-95
95nb,Nb-95
95tc(m),Tc-95m
95tcm,Tc-95m
95zr,Zr-95
96Tc,Tc-96
96Tc(m),Tc-96m
96TcM,Tc-96m
96Tcm,Tc-96m
96tc,Tc-96
96tc(m),Tc-96m
96tcm,Tc-96m
97Nb,Nb-97
97Ru,Ru-97
97Tc,Tc-97
97Tc(m),Tc-97m
97TcM,Tc-97m
97Tcm,Tc-97m
97nb,Nb-97
97ru,Ru-97
97tc,Tc-97
97tc(m),Tc-97m
97tcm,Tc-97m
98Tc,Tc-98
98tc,Tc-98
99Mo,Mo-99
99Rh,Rh-99
99Tc,Tc-99
99Tc(m),Tc-99m
99TcM,Tc-99m
99Tcm,Tc-99m
99mo,Mo-99
99rh,Rh-99
99tc,Tc-99
99tc(m),Tc-99m
99tcm,Tc-99m
Ac-225,Ac-225
Ac-227,Ac-227
Ac-228,Ac-228
Ac225,Ac-225
Ac227,Ac-227
Ac228,Ac-228
Ag-105,Ag-105
Ag-110(m),Ag-110m
Ag-110M,Ag-110m
Ag-110m,Ag-110m
Ag-111,Ag-111
Ag105,Ag-105
Ag110(m),Ag-110m
Ag110M,Ag-110m
Ag110m,Ag-110m
Ag111,Ag-111
Al-26,Al-26
Al26,Al-26
Am-241,Am-241
Am241,Am-241
Ar-37,Ar-37
Ar-39,Ar-39
Ar-41,Ar-41
Ar37,Ar-37
Ar39,Ar-39
Ar41,Ar-41
As-72,As-72
As-73,As-73
As-74,As-74
As-76,As-76
As-77,As-77
As72,As-72
As73,As-73
As74,As-74
As76,As-76
As77,As-77
At-211,At-211
At211,At-211
Au-193,Au-193
Au-194,Au-194
Au-195,Au-195
Au-198,Au-198
Au-199,Au-199
Au193,Au-193
Au194,Au-194
Au195,Au-195
Au198,Au-198
Au199,Au-199
Ba-131,Ba-131
Ba-133,Ba-133
Ba-133(m),Ba-133m
Ba-133M,Ba-133m
Ba-133m,Ba-133m
Ba131,Ba-131
Ba133,Ba-133
Ba133(m),Ba-133m
Ba133M,Ba-133m
Ba133m,Ba-133m
Be-10,Be-10
Be-7,Be-7
Be10,Be-10
Be7,Be-7
Bi-205,Bi-205
Bi-206,Bi-206
Bi-207,Bi-207
Bi-210,Bi-210
Bi-210(m),Bi-210m
Bi-210M,Bi-210m
Bi-210m,Bi-210m
Bi205,Bi-205
Bi206,Bi-206
Bi207,Bi-207
Bi210,Bi-210
Bi210(m),Bi-210m
Bi210M,Bi-210m
Bi210m,Bi-210m
Bk-247,Bk-247
Bk-249,Bk-249
Bk247,Bk-247
Bk249,Bk-249
Br-76,Br-76
Br-77,Br-77
Br-82,Br-82
Br76,Br-76
Br77,Br-77
Br82,Br-82
C-11,C-11
C-14,C-14
C11,C-11
C14,C-14
Ca-41,Ca-41
Ca-45,Ca-45
Ca-47,Ca-47
Ca41,Ca-41
Ca45,Ca-45
Ca47,Ca-47
Cd-109,Cd-109
Cd-113(m),Cd-113m
Cd-113M,Cd-113m
Cd-113m,Cd-113m
Cd-115,Cd-115
Cd-115(m),Cd-115m
Cd-115M,Cd-115m
Cd-115m,Cd-115m
Cd109,Cd-109
Cd113(m),Cd-113m
Cd113M,Cd-113m
Cd113m,Cd-113m
Cd115,Cd-115
Cd115(m),Cd-115m
Cd115M,Cd-115m
Cd115m,Cd-115m
Ce-139,Ce-139
Ce-141,Ce-141
Ce-143,Ce-143
Ce139,Ce-139
Ce141,Ce-141
Ce143,Ce-143
Cf-248,Cf-248
Cf-249,Cf-249
Cf-250,Cf-250
Cf-251,Cf-251
Cf-252,Cf-252
Cf-253,Cf-253
Cf-254,Cf-254
Cf248,Cf-248
Cf249,Cf-249
Cf250,Cf-250
Cf251,Cf-251
Cf252,Cf-252
Cf253,Cf-253
Cf254,Cf-254
Cl-36,Cl-36
Cl-38,Cl-38
Cl36,Cl-36
Cl38,Cl-38
Cm-240,Cm-240
Cm-241,Cm-241
Cm-242,Cm-242
Cm-243,Cm-243
Cm-244,Cm-244
Cm-245,Cm-245
Cm-246,Cm-246
Cm-247,Cm-247
Cm-248,Cm-248
Cm240,Cm-240
Cm241,Cm-241
Cm242,Cm-242
Cm243,Cm-243
Cm244,Cm-244
Cm245,Cm-245
Cm246,Cm-246
Cm247,Cm-247
Cm248,Cm-248
Co-55,Co-55
Co-56,Co-56
Co-57,Co-57
Co-58,Co-58
Co-58(m),Co-58m
Co-58M,Co-58m
Co-58m,Co-58m
Co-60,Co-60
Co55,Co-55
Co56,Co-56
Co57,Co-57
Co58,Co-58
Co58(m),Co-58m
Co58M,Co-58m
Co58m,Co-58m
Co60,Co-60
Cr-51,Cr-51
Cr51,Cr-51
Cs-129,Cs-129
Cs-131,Cs-131
Cs-132,Cs-132
Cs-134,Cs-134
Cs-134(m),Cs-134m
Cs-134M,Cs-134m
Cs-134m,Cs-134m
Cs-135,Cs-135
Cs-136,Cs-136
Cs129,Cs-129
Cs131,Cs-131
Cs132,Cs-132
Cs134,Cs-134
Cs134(m),Cs-134m
Cs134M,Cs-134m
Cs134m,Cs-134m
Cs135,Cs-135
Cs136,Cs-136
Cu-64,Cu-64
Cu-67,Cu-67
Cu64,Cu-64
Cu67,Cu-67
Dy-159,Dy-159
Dy-165,Dy-165
Dy-166,Dy-166
Dy159,Dy-159
Dy165,Dy-165
Dy166,Dy-166
Er-169,Er-169
Er-171,Er-171
Er169,Er-169
Er171,Er-171
Eu-147,Eu-147
Eu-148,Eu-148
Eu-149,Eu-149
Eu-152,Eu-152
Eu-152(m),Eu-152m
Eu-152M,Eu-152m
Eu-152m,Eu-152m
Eu-154,Eu-154
Eu-155,Eu-155
Eu-156,Eu-156
Eu147,Eu-147
Eu148,Eu-148
Eu149,Eu-149
Eu152,Eu-152
Eu152(m),Eu-152m
Eu152M,Eu-152m
Eu152m,Eu-152m
Eu154,Eu-154
Eu155,Eu-155
Eu156,Eu-156
F-18,F-18
F18,F-18
Fe-52,Fe-52
Fe-55,Fe-55
Fe-59,Fe-59
Fe-60,Fe-60
Fe52,Fe-52
Fe55,Fe-55
Fe59,Fe-59
Fe60,Fe-60
Ga-67,Ga-67
Ga-68,Ga-68
Ga-72,Ga-72
Ga67,Ga-67
Ga68,Ga-68
Ga72,Ga-72
Gd-146,Gd-146
Gd-148,Gd-148
Gd-153,Gd-153
Gd-159,Gd-159
Gd146,Gd-146
Gd148,Gd-148
Gd153,Gd-153
Gd159,Gd-159
Ge-68,Ge-68
Ge-71,Ge-71
Ge-77,Ge-77
Ge68,Ge-68
Ge71,Ge-71
Ge77,Ge-77
Hf-172,Hf-172
Hf-175,Hf-175
Hf-181,Hf-181
Hf-182,Hf-182
Hf172,Hf-172
Hf175,Hf-175
Hf181,Hf-181
Hf182,Hf-182
Hg-194,Hg-194
Hg-195(m),Hg-195m
Hg-195M,Hg-195m
Hg-195m,Hg-195m
Hg-197,Hg-197
Hg-197(m),Hg-197m
Hg-197M,Hg-197m
Hg-197m,Hg-197m
Hg-203,Hg-203
Hg194,Hg-194
Hg195(m),Hg-195m
Hg195M,Hg-195m
Hg195m,Hg-195m
Hg197,Hg-197
Hg197(m),Hg-197m
Hg197M,Hg-197m
Hg197m,Hg-197m
Hg203,Hg-203
Ho-166,Ho-166
Ho-166(m),Ho-166m
Ho-166M,Ho-166m
Ho-166m,Ho-166m
Ho166,Ho-166
Ho166(m),Ho-166m
Ho166M,Ho-166m
Ho166m,Ho-166m
I-123,I-123
I-124,I-124
I-125,I-125
I-126,I-126
I-129,I-129
I-131,I-131
I-132,I-132
I-133,I-133
I-134,I-134
I-135,I-135
I123,I-123
I124,I-124
I125,I-125
I126,I-126
I129,I-129
I131,I-131
I132,I-132
I133,I-133
I134,I-134
I135,I-135
In-111,In-111
In-113(m),In-113m
In-113M,In-113m
In-113m,In-113m
In-114(m),In-114m
In-114M,In-114m
In-114m,In-114m
In-115(m),In-115m
In-115M,In-115m
In-115m,In-115m
In111,In-111
In113(m),In-113m
In113M,In-113m
In113m,In-113m
In114(m),In-114m
In114M,In-114m
In114m,In-114m
In115(m),In-115m
In115M,In-115m
In115m,In-115m
Ir-189,Ir-189
Ir-190,Ir-190
Ir-192,Ir-192
Ir-194,Ir-194
Ir189,Ir-189
Ir190,Ir-190
Ir192,Ir-192
Ir194,Ir-194
K-40,K-40
K-42,K-42
K-43,K-43
K40,K-40
K42,K-42
K43,K-43
Kr-79,Kr-79
Kr-81,Kr-81
Kr-85,Kr-85
Kr-85(m),Kr-85m
Kr-85M,Kr-85m
Kr-85m,Kr-85m
Kr-87,Kr-87
Kr79,Kr-79
Kr81,Kr-81
Kr85,Kr-85
Kr85(m),Kr-85m
Kr85M,Kr-85m
Kr85m,Kr-85m
Kr87,Kr-87
La-137,La-137
La-140,La-140
La137,La-137
La140,La-140
Lu-172,Lu-172
Lu-173,Lu-173
Lu-174,Lu-174
Lu-174(m),Lu-174m
Lu-174M,Lu-174m
Lu-174m,Lu-174m
Lu-177,Lu-177
Lu172,Lu-172
Lu173,Lu-173
Lu174,Lu-174
Lu174(m),Lu-174m
Lu174M,Lu-174m
Lu174m,Lu-174m
Lu177,Lu-177
Mg-28,Mg-28
Mg28,Mg-28
Mn-52,Mn-52
Mn-53,Mn-53
Mn-54,Mn-54
Mn-56,Mn-56
Mn52,Mn-52
Mn53,Mn-53
Mn54,Mn-54
Mn56,Mn-56
Mo-93,Mo-93
Mo-99,Mo-99
Mo93,Mo-93
Mo99,Mo-99
N-13,N-13
N13,N-13
Na-22,Na-22
Na-24,Na-24
Na22,Na-22
Na24,Na-24
Nb-93(m),Nb-93m
Nb-93M,Nb-93m
Nb-93m,Nb-93m
Nb-94,Nb-94
Nb-95,Nb-95
Nb-97,Nb-97
Nb93(m),Nb-93m
Nb93M,Nb-93m
Nb93m,Nb-93m
Nb94,Nb-94
Nb95,Nb-95
Nb97,Nb-97
Nd-147,Nd-147
Nd-149,Nd-149
Nd147,Nd-147
Nd149,Nd-149
Ni-59,Ni-59
Ni-63,Ni-63
Ni-65,Ni-65
Ni59,Ni-59
Ni63,Ni-63
Ni65,Ni-65
Np-235,Np-235
Np-237,Np-237
Np-239,Np-239
Np235,Np-235
Np237,Np-237
Np239,Np-239
Os-185,Os-185
Os-191,Os-191
Os-191(m),Os-191m
Os-191M,Os-191m
Os-191m,Os-191m
Os-193,Os-193
Os-194,Os-194
Os185,Os-185
Os191,Os-191
Os191(m),Os-191m
Os191M,Os-191m
Os191m,Os-191m
Os193,Os-193
Os194,Os-194
